#Id,DestinationId,RatesTag,RoundingMethod,RoundingDecimals,MaxCost,MaxCostStrategy
DR_100,DST_100,RT_100,*up,20,0,
DR_101,DST_101,RT_101,*up,20,0,
DR_102,DST_102,RT_102,*up,20,0,
DR_103,DST_103,RT_103,*up,20,0,
DR_104,DST_104,RT_104,*up,20,0,
DR_105,DST_105,RT_105,*up,20,0,
DR_106,DST_106,RT_106,*up,20,0,
DR_107,DST_107,RT_107,*up,20,0,
DR_108,DST_108,RT_108,*up,20,0,
DR_109,DST_109,RT_109,*up,20,0,
DR_110,DST_110,RT_110,*up,20,0,
DR_111,DST_111,RT_111,*up,20,0,
DR_112,DST_112,RT_112,*up,20,0,
DR_113,DST_113,RT_113,*up,20,0,
DR_114,DST_114,RT_114,*up,20,0,
DR_115,DST_115,RT_115,*up,20,0,
DR_116,DST_116,RT_116,*up,20,0,
DR_117,DST_117,RT_117,*up,20,0,
DR_118,DST_118,RT_118,*up,20,0,
DR_119,DST_119,RT_119,*up,20,0,
DR_120,DST_120,RT_120,*up,20,0,
DR_121,DST_121,RT_121,*up,20,0,
DR_122,DST_122,RT_122,*up,20,0,
DR_123,DST_123,RT_123,*up,20,0,
DR_124,DST_124,RT_124,*up,20,0,
DR_125,DST_125,RT_125,*up,20,0,
DR_126,DST_126,RT_126,*up,20,0,
DR_127,DST_127,RT_127,*up,20,0,
DR_128,DST_128,RT_128,*up,20,0,
DR_129,DST_129,RT_129,*up,20,0,
DR_130,DST_130,RT_130,*up,20,0,
DR_131,DST_131,RT_131,*up,20,0,
DR_132,DST_132,RT_132,*up,20,0,
DR_133,DST_133,RT_133,*up,20,0,
DR_134,DST_134,RT_134,*up,20,0,
DR_135,DST_135,RT_135,*up,20,0,
DR_136,DST_136,RT_136,*up,20,0,
DR_137,DST_137,RT_137,*up,20,0,
DR_138,DST_138,RT_138,*up,20,0,
DR_139,DST_139,RT_139,*up,20,0,
DR_140,DST_140,RT_140,*up,20,0,
DR_141,DST_141,RT_141,*up,20,0,
DR_142,DST_142,RT_142,*up,20,0,
DR_143,DST_143,RT_143,*up,20,0,
DR_144,DST_144,RT_144,*up,20,0,
DR_145,DST_145,RT_145,*up,20,0,
DR_146,DST_146,RT_146,*up,20,0,
DR_147,DST_147,RT_147,*up,20,0,
DR_148,DST_148,RT_148,*up,20,0,
DR_149,DST_149,RT_149,*up,20,0,
DR_150,DST_150,RT_150,*up,20,0,
DR_151,DST_151,RT_151,*up,20,0,
DR_152,DST_152,RT_152,*up,20,0,
DR_153,DST_153,RT_153,*up,20,0,
DR_154,DST_154,RT_154,*up,20,0,
DR_155,DST_155,RT_155,*up,20,0,
DR_156,DST_156,RT_156,*up,20,0,
DR_157,DST_157,RT_157,*up,20,0,
DR_158,DST_158,RT_158,*up,20,0,
DR_159,DST_159,RT_159,*up,20,0,
DR_160,DST_160,RT_160,*up,20,0,
DR_161,DST_161,RT_161,*up,20,0,
DR_162,DST_162,RT_162,*up,20,0,
DR_163,DST_163,RT_163,*up,20,0,
DR_164,DST_164,RT_164,*up,20,0,
DR_165,DST_165,RT_165,*up,20,0,
DR_166,DST_166,RT_166,*up,20,0,
DR_167,DST_167,RT_167,*up,20,0,
DR_168,DST_168,RT_168,*up,20,0,
DR_169,DST_169,RT_169,*up,20,0,
DR_170,DST_170,RT_170,*up,20,0,
DR_171,DST_171,RT_171,*up,20,0,
DR_172,DST_172,RT_172,*up,20,0,
DR_173,DST_173,RT_173,*up,20,0,
DR_174,DST_174,RT_174,*up,20,0,
DR_175,DST_175,RT_175,*up,20,0,
DR_176,DST_176,RT_176,*up,20,0,
DR_177,DST_177,RT_177,*up,20,0,
DR_178,DST_178,RT_178,*up,20,0,
DR_179,DST_179,RT_179,*up,20,0,
DR_180,DST_180,RT_180,*up,20,0,
DR_181,DST_181,RT_181,*up,20,0,
DR_182,DST_182,RT_182,*up,20,0,
DR_183,DST_183,RT_183,*up,20,0,
DR_184,DST_184,RT_184,*up,20,0,
DR_185,DST_185,RT_185,*up,20,0,
DR_186,DST_186,RT_186,*up,20,0,
DR_187,DST_187,RT_187,*up,20,0,
DR_188,DST_188,RT_188,*up,20,0,
DR_189,DST_189,RT_189,*up,20,0,
DR_190,DST_190,RT_190,*up,20,0,
DR_191,DST_191,RT_191,*up,20,0,
DR_192,DST_192,RT_192,*up,20,0,
DR_193,DST_193,RT_193,*up,20,0,
DR_194,DST_194,RT_194,*up,20,0,
DR_195,DST_195,RT_195,*up,20,0,
DR_196,DST_196,RT_196,*up,20,0,
DR_197,DST_197,RT_197,*up,20,0,
DR_198,DST_198,RT_198,*up,20,0,
DR_199,DST_199,RT_199,*up,20,0,
