#Id,ConnectFee,Rate,RateUnit,RateIncrement,GroupIntervalStart
RT_100,0.82,0.9603,60s,60s,0s
RT_100,0,0.4801,60s,1s,60s
RT_101,0.37,0.3478,60s,60s,0s
RT_101,0,0.1739,60s,1s,60s
RT_102,0.94,0.7972,60s,60s,0s
RT_102,0,0.3986,60s,1s,60s
RT_103,0.46,0.2151,60s,60s,0s
RT_103,0,0.1076,60s,1s,60s
RT_104,0.01,0.5396,60s,60s,0s
RT_104,0,0.2698,60s,1s,60s
RT_105,0.57,0.9269,60s,60s,0s
RT_106,0.13,0.3689,1s,1s,0s
RT_107,0.66,0.7610,60s,60s,0s
RT_107,0,0.3805,60s,1s,60s
RT_108,0.22,0.1169,60s,60s,0s
RT_108,0,0.0585,60s,1s,60s
RT_109,0.77,0.5041,60s,60s,0s
RT_110,0.30,0.9540,60s,60s,0s
RT_111,0.85,0.3411,1s,1s,0s
RT_112,0.41,0.6961,60s,60s,0s
RT_112,0,0.3481,60s,1s,60s
RT_113,0.97,0.0835,60s,60s,0s
RT_114,0.62,0.5332,1s,1s,0s
RT_115,0.18,0.8658,60s,60s,0s
RT_116,0.74,0.2855,60s,60s,0s
RT_117,0.27,0.7347,1s,1s,0s
RT_118,0.82,0.1221,1s,1s,0s
RT_119,0.38,0.4470,60s,60s,0s
RT_120,0.94,0.8652,60s,60s,0s
RT_121,0.47,0.3142,1s,1s,0s
RT_122,0.03,0.7013,1s,1s,0s
RT_123,0.58,0.0262,60s,60s,0s
RT_123,0,0.0131,60s,1s,60s
RT_124,0.11,0.4445,60s,60s,0s
RT_124,0,0.2223,60s,1s,60s
RT_125,0.66,0.8838,60s,60s,0s
RT_126,0.22,0.2708,1s,1s,0s
RT_127,0.78,0.5953,1s,1s,0s
RT_128,0.43,0.0140,1s,1s,0s
RT_129,0.99,0.4636,60s,60s,0s
RT_130,0.55,0.8502,1s,1s,0s
RT_131,0.07,0.1749,60s,60s,0s
RT_132,0.64,0.5932,60s,60s,0s
RT_132,0,0.2966,60s,1s,60s
RT_133,0.19,0.0430,60s,60s,0s
RT_133,0,0.0215,60s,1s,60s
RT_134,0.74,0.4393,60s,60s,0s
RT_135,0.27,0.7635,60s,60s,0s
RT_136,0.83,0.1823,1s,1s,0s
RT_137,0.39,0.6319,1s,1s,0s
RT_138,0.92,0.0192,60s,60s,0s
RT_138,0,0.0096,60s,1s,60s
RT_139,0.47,0.3429,60s,60s,0s
RT_140,0.03,0.7614,60s,60s,0s
RT_141,0.59,0.2112,60s,60s,0s
RT_142,0.24,0.5984,1s,1s,0s
RT_143,0.80,0.9283,60s,60s,0s
RT_143,0,0.4642,60s,1s,60s
RT_144,0.35,0.3075,60s,60s,0s
RT_145,0.88,0.7885,60s,60s,0s
