#Tenant,ID,FilterIDs,Weight,Strategy,StrategyParameters,ConnID,ConnFilterIDs,ConnWeight,ConnBlocker,ConnParameters
cgrates.org,PING1,,10,*weight,,ALL,,20,false,
cgrates.org,PING1,,,,,ALL2,,10,,
cgrates.org,EVENT1,*string:~*req.EventName:Event1,30,*weight,,ALL2,,20,false,
cgrates.org,EVENT1,,,,,ALL,,10,,
cgrates.org,EVENT2,*string:~*req.EventName:RoundRobin,20,*round_robin,,ALL2,,20,false,
cgrates.org,EVENT2,,,,,ALL,,10,,
cgrates.org,EVENT3,*string:~*req.EventName:Random,20,*random,,ALL2,,20,false,
cgrates.org,EVENT3,,,,,ALL,,10,,
cgrates.org,EVENT4,*string:~*req.EventName:Broadcast,20,*broadcast_sync,,ALL2,,20,false,
cgrates.org,EVENT4,,,,,ALL,,10,,
cgrates.org,EVENT5,*string:~*req.EventName:Internal,20,*weight,,SELF,,20,false,
