#Tenant,ID,FilterIDs,Weights,MinCost,MaxCost,MaxCostStrategy,RateID,RateFilterIDs,RateActivationStart,RateWeights,RateBlocker,RateIntervalStart,RateFixedFee,RateRecurrentFee,RateUnit,RateIncrement

cgrates.org,RP_SUPPLIER1,*string:~*req.RouteID:supplier1;*string:~*req.RunID:suppliers,,,,,,,,,,,,,,
cgrates.org,RP_SUPPLIER1,,,,,,RT_10,*prefix:~*req.Destination:10,,;10,,,,0.93,1m,1s
cgrates.org,RP_SUPPLIER1,,,,,,RT_DFLT,,,,,,,0.97,1m,1s

cgrates.org,RP_SUPPLIER2,*string:~*req.RouteID:supplier2;*string:~*req.RunID:suppliers,,,,,RT_DFLT,,,,,,,0.8,1m,1s

cgrates.org,RP_SUPPLIER3,*string:~*req.RouteID:supplier3;*string:~*req.RunID:suppliers,,,,,,,,,,,,,,
cgrates.org,RP_SUPPLIER3,,,,,,RT_1,*prefix:~*req.Destination:1,,;10,,,,0.99,1m,1s
cgrates.org,RP_SUPPLIER3,,,,,,RT_DFLT,,,,,,,0.95,1m,1s

cgrates.org,RP_SUPPLIER4,*string:~*req.RouteID:supplier4;*string:~*req.RunID:suppliers,,,,,,,,,,,,,,
cgrates.org,RP_SUPPLIER4,,,,,,RT_1002,*prefix:~*req.Destination:1002,,;10,,,,0.09,1m,1s
cgrates.org,RP_SUPPLIER4,,,,,,RT_1,*prefix:~*req.Destination:1,,;10,,,,0.2,1m,1s
cgrates.org,RP_SUPPLIER4,,,,,,RT_DFLT,,,,,,,0.91,1m,1s

cgrates.org,RP_ABS_VOLUME2,*string:~*req.RunID:balanceonly,,,,,RT_DFLT,,,,,,,0.01,1s,1s

cgrates.org,RP_CUSTOMER1,*string:~*req.RunID:customers,,,,,RT_10,*prefix:~*req.Destination:10,,;10,,,,0.2,1m,1s
cgrates.org,RP_CUSTOMER1,,,,,,RT_20,*prefix:~*req.Destination:20,,;10,,,,0.4,1m,1s
