#Tenant,ID,Context,FilterIDs,ActivationInterval,AttributeFilterIDs,Path,Type,Value,Blocker,Weight
cgrates.org,ATTR_ACNT_1001,*sessions,FLTR_ACCOUNT_1001,,,*req.OfficeGroup,*constant,Marketing,false,10
cgrates.org,ATTR_SUPPLIER1,*chargers,,,,*req.Subject,*constant,SUPPLIER1,false,10
cgrates.org,ATTR_PAYPAL,*cdrs,*string:~*req.Subject:ANY2CNT,,,*req.PayPalAccount,*constant,paypal@cgrates.org,false,10
cgrates.org,ATTR_SUBJECT_CASE1,*sessions,*string:~*req.OriginID:testSSv1ItProcessEventWithGetCost,,,*req.Subject,*constant,ANY2CNT,false,10
cgrates.org,ATTR_SUBJECT_CASE2,*sessions,*string:~*req.OriginID:testSSv1ItProcessEventWithGetCost2,,,*req.Subject,*constant,SPECIAL_1002,false,10
cgrates.org,ATTR_SUBJECT_CASE3,*sessions,*string:~*req.OriginID:testSSv1ItProcessEventWithGetCost3,,,*req.Subject,*constant,RP_RETAIL,false,10
cgrates.org,ATTR_SUBJECT_CASE4,*sessions,*string:~*req.OriginID:testSSv1ItProcessEventWithGetCost4,,,,,,false,10
cgrates.org,ATTR_SUBJECT_CASE4,,,,,*req.Subject,*constant,InvalidSubject,,
cgrates.org,ATTR_SUBJECT_CASE4,,,,,*req.Category,*constant,Standard,false,10
cgrates.org,ATTR_VARIABLE,*any,*string:~*req.EventName:VariableTest,,,*req.Category,*variable,~*req.ToR,false,20
