#Tenant,ID,FilterIDs,Weight,Sorting,SortingParameters,RouteID,RouteFilterIDs,RouteAccountIDs,RouteRateProfileIDs,RouteResourceIDs,RouteStatIDs,RouteWeight,RouteBlocker,RouteParameters
cgrates.org,ROUTE_ACNT_1001,FLTR_ACCOUNT_1001,10,*weight,,route1,,,,,,20,,
cgrates.org,ROUTE_ACNT_1001,,,,,route2,,,,,,10,,
cgrates.org,ROUTE_WEIGHT_2,,5,*weight,,route1,,,,,,10,,
cgrates.org,ROUTE_WEIGHT_1,FLTR_DST_DE;FLTR_ACNT_1007,10,*weight,,route1,,,,,,10,,
cgrates.org,ROUTE_WEIGHT_1,FLTR_DST_DE,,,,route2,,,,,,20,,
cgrates.org,ROUTE_WEIGHT_1,FLTR_ACNT_1007,,,,route3,FLTR_SPP_ACNT_dan,,,,,15,,
cgrates.org,ROUTE_LEASTCOST_1,FLTR_1,10,*lc,,route1,,,RP_SPECIAL_1002,,,10,false,
cgrates.org,ROUTE_LEASTCOST_1,,,,,route2,,,RP_RETAIL1,,,20,,
cgrates.org,ROUTE_LEASTCOST_1,,,,,route3,,,RP_SPECIAL_1002,,,15,,
cgrates.org,ROUTE_HIGHESTCOST_1,FLTR_SPP_2,20,*hc,,route1,,,RP_SPECIAL_1002,,,10,false,
cgrates.org,ROUTE_HIGHESTCOST_1,,,,,route2,,,RP_RETAIL1,,,20,,
cgrates.org,ROUTE_HIGHESTCOST_1,,,,,route3,,,RP_SPECIAL_1002,,,15,,
cgrates.org,ROUTE_QOS_1,FLTR_SPP_3,20,*qos,*acd;*tcd;*asr,route1,,,,,Stat_1;Stat_1_1,10,false,
cgrates.org,ROUTE_QOS_1,,,,,route2,,,,,Stat_2,20,,
cgrates.org,ROUTE_QOS_1,,,,,route3,,,,,Stat_3,35,,
cgrates.org,ROUTE_QOS_2,FLTR_SPP_4,20,*qos,*dcc,route1,,,,,Stat_1;Stat_1_1,10,false,
cgrates.org,ROUTE_QOS_2,,,,,route2,,,,,Stat_2,20,,
cgrates.org,ROUTE_QOS_2,,,,,route3,,,,,Stat_3,35,,
cgrates.org,ROUTE_QOS_3,FLTR_SPP_5,20,*qos,*pdd,route1,,,,,Stat_1;Stat_1_1,10,false,
cgrates.org,ROUTE_QOS_3,,,,,route2,,,,,Stat_2,20,,
cgrates.org,ROUTE_QOS_3,,,,,route3,,,,,Stat_3,35,,
cgrates.org,ROUTE_QOS_FILTRED,FLTR_SPP_6,20,*qos,*pdd,route1,FLTR_QOS_SP1,,,,Stat_1;Stat_1_1,10,false,
cgrates.org,ROUTE_QOS_FILTRED,,,,,route2,FLTR_QOS_SP2,,,,Stat_2,20,,
cgrates.org,ROUTE_QOS_FILTRED,,,,,route3,,,,,Stat_3,35,,
cgrates.org,ROUTE_QOS_FILTRED2,FLTR_SPP_QOS_2,20,*qos,*acd;*tcd;*asr,route1,FLTR_QOS_SP1_2,,RP_SPECIAL_1002,,Stat_1;Stat_1_1,10,false,
cgrates.org,ROUTE_QOS_FILTRED2,,,,,route2,FLTR_QOS_SP2_2,,RP_RETAIL1,,Stat_2,20,,
cgrates.org,ROUTE_QOS_FILTRED2,,,,,route3,,,,,Stat_3,35,,
cgrates.org,ROUTE_LCR,FLTR_TEST,50,*lc,,route_1,,,RP_TEST_1,,,10,,
cgrates.org,ROUTE_LCR,,,,,route_2,,,RP_TEST_2,,,,,
cgrates.org,ROUTE_LOAD_DIST,FLTR_SPP_LOAD_DIST,20,*load,route1:2;route2:7;*default:5,route1,,,,,Stat_Supplier1:*sum#~*req.LoadReq,10,false,
cgrates.org,ROUTE_LOAD_DIST,,,,,route2,,,,,Stat_Supplier2:*sum#~*req.LoadReq,20,,
cgrates.org,ROUTE_LOAD_DIST,,,,,route3,,,,,Stat_Supplier3:*sum#~*req.LoadReq,35,,
