#Tenant[0],ID[1],Type[2],Element[3],Values[4]
cgrates.org,FLTR_RES,*string,~*req.Account,1001;1002;1003
cgrates.org,FLTR_DST_FS,*string,~*req.Account,1001
cgrates.org,FLTR_DST_FS,*destinations,~*req.Destination,DST_FS
cgrates.org,FLTR_ACNT_1001_1002,*string,~*req.Account,1001;1002
cgrates.org,FLTR_ACNT_1001_1002,*string,~*req.RunID,*default
cgrates.org,FLTR_ACNT_1001_1002,*string,~*req.Destination,1001;1002;1003
cgrates.org,FLTR_ACNT_1001,*string,~*req.Account,1001
cgrates.org,FLTR_ACNT_1002,*string,~*req.Account,1002
cgrates.org,FLTR_ACNT_1003,*string,~*req.Account,1003
cgrates.org,FLTR_ACNT_1003_1001,*string,~*req.Account,1003
cgrates.org,FLTR_ACNT_1003_1001,*string,~*req.RunID,*default
cgrates.org,FLTR_ACNT_1003_1001,*string,~*req.Destination,1001
