#ID,DestinationsID,RatesID,RoundingMethod,RoundingDecimals,MaxCost,MaxCostStrategy
DR_10_120C,DST_10,RT_120C,*up,4,,
DR_10_60C,DST_10,RT_60C,*up,4,,
DR_2030_120C,DST_2030,RT_120C,*up,4,,
DR_20_60C,DST_20,RT_60C,*up,4,,
DR_VOICEMAIL_FREE,DST_VOICEMAIL,RT_0,*up,4,,
DR_1002_60C,DST_1002,RT_60C,*up,4,,
DR_ANY_10C_CN,*any,RT_10C_CN,*up,4,,
DR_ANY_1024_1,*any,RT_1024_1,*up,4,,
DR_1002_10C1,DST_1002,RT_10C1,*up,4,,
DR_10_20C1,DST_10,RT_20C1,*up,4,,
DR_1CNT,*any,RT_1CNT,*up,4,,
DR_10CNT,*any,RT_10CNT,*up,4,,
