#ID,ConnectFee,Rate,RateUnit,RateIncrement,GroupIntervalStart

# RT_120_20_60 charges 0.20 units as connect fee and 1.2 in 1 minute increment in the first minute and second increments after that ,,,,,
RT_120_20_60,0.2,1.2,1m,1m,0
RT_120_20_60,,1.2,1m,1s,1m

# RT_180_10_60 charges 0.10 units as connect fee and 1.8 in 1 minute increment in the first minute and second increments after that ,,,,,
RT_180_10_60,0.1,1.8,1m,1m,0
RT_180_10_60,,1.8,1m,1s,1m

# RT_240_30_60 charges 0.3 units as connect fee and 2.4 in 1 minute increment in the first minute and second increments after that ,,,,,
RT_240_30_60,0.3,2.4,1m,1m,0
RT_240_30_60,,2.4,1m,1s,1m

# RT_120_10_60 charges 0.1 units as connect fee and 1.2 in 1 minute increment ,,,,,
RT_120_10_60,0.1,1.2,1m,1m,0

# RT_5_1 charges 0.05 units per 1 unit of usage (SMS) ,,,,,
RT_5_1,,0.05,1,1,0

# RT_10_1 charges 0.1 units per 1 unit of usage (SMS) ,,,,,
RT_10_1,,0.1,1,1,0

# RT_10_1024 charges 0.1 units per 1024 units of usage in increments of 1024 units(DATA) ,,,,,
RT_10_1024,,0.1,1024,1024,0

# RT_60_60 charges 0.6 per minute in second increments ,,,,,
RT_60_60,,0.6,1m,1s,0

# RT_120_60 charges 1.2 per minute in second increments ,,,,,
RT_120_60,,1.2,1m,1s,0

# RT_30_60 charges 0.3 per minute in second increments ,,,,,
RT_30_60,,0.3,1m,1s,0

# RT_15_0_1 charges 0.15 per call ,,,,,
RT_15_0_1,0.15,,1s,1s,0
