#Tenant,Category,Subject,ActivationTime,RatingPlanId,RatesFallbackSubject

# Standard rates for calls,,,,,
cgrates.org,call,*any,2014-01-14T00:00:00Z,RP_DEFAULT,

# Custom rates for Subject 1001,,,,,
cgrates.org,call,1001,2014-01-14T00:00:00Z,RP_1001,*any

# Default rates for data and SMS,,,,,
cgrates.org,data,*any,2014-01-14T00:00:00Z,RP_DATA,
cgrates.org,sms,*any,2014-01-14T00:00:00Z,RP_SMS,

# Supplier rates selected via CHRG_SUPPLIER or Suppliers.csv,,,,,
cgrates.org,supplier1,*any,2014-01-14T00:00:00Z,RP_SPL1,
cgrates.org,supplier2,*any,2014-01-14T00:00:00Z,RP_SPL2,

# Special rating subject for balances paying per call,,,,,
cgrates.org,call,RPF_SPECIAL_BLC,2014-01-14T00:00:00Z,RP_SPECIAL_BLC,



