#Tenant[0],Id[1],FilterIDs[2],Weights[3],Blockers[4],QueueLength[5],TTL[6],MinItems[7],Stored[8],ThresholdIDs[9],MetricIDs[10],MetricFilterIDs[11],MetricBlockers[12]
cgrates.org,STATS_VENDOR_1,*string:~*req.Category:vendor1,,,100,-1,,true,*none,*acd;*tcd;*acc;*tcc;*sum#1,,
cgrates.org,STATS_VENDOR_2,*string:~*req.Category:vendor2,,,100,-1,,true,*none,*acd;*tcd;*acc;*tcc;*sum#1;*distinct#~*opts.*usage,,
cgrates.org,STATS_TCC1,,,,100,-1,,true,*none,*tcc,,
cgrates.org,STATS_TCC2,Fltr_tcc,,,100,-1,,,*none,*tcc,,

cgrates.org,STATS_TOP1,*string:~*req.Account:1010,,,100,-1,,true,*none,*asr;*acd,,
cgrates.org,STATS_TOP2,*string:~*req.Destination:1021,,,100,-1,,true,*none,*asr;*acd,,
cgrates.org,STATS_TOP3,*string:~*req.Category:call,,,100,-1,,true,*none,*asr;*acd,,



